hand_id,hero_position,hero_hole_cards,hero_action_preflop,hero_folded,hero_won,pot_size,hero_profit_bb,big_blind,hero_stack_pre_bb,num_opponents_preflop,is_pair,suited,high_card_rank,low_card_rank,gap,hand_group
HD2900450637,BB,9s 2c,,False,0.0,0.2,0.0,0.25,0.0,5,0,0,9,2,6,3
HD2900450574,MP2,2d 2s,raises,False,0.0,0.6,0.0,0.25,0.0,5,1,0,2,2,-1,6
HD2900450464,MP3,9s 7s,calls,False,0.57,0.6,2.28,0.25,0.0,5,0,1,9,7,1,3
HD2900450420,CO,7s 5h,folds,True,0.0,1.5,0.0,0.25,0.0,5,0,0,7,5,1,3
HD2900450316,BTN,6s Kd,folds,True,0.0,5.52,0.0,0.25,0.0,5,0,0,13,6,6,3
HD2900450288,SB,2c 9d,folds,True,0.0,0.6,0.0,0.25,0.0,4,0,0,9,2,6,3
HD2900450154,BB,8c 8s,raises,False,0.0,9.6,0.0,0.25,0.0,5,1,0,8,8,-1,8
HD2900450121,MP2,4h 8s,folds,True,0.0,0.6,0.0,0.25,0.0,5,0,0,8,4,3,3
HD2900450045,MP3,Tc Qs,raises,False,0.0,0.6,0.0,0.25,0.0,5,0,0,12,10,1,3
HD2900449950,CO,Ks 6d,folds,True,0.0,6.51,0.0,0.25,0.0,5,0,0,13,6,6,3
HD2900449868,BTN,9d 7s,folds,True,0.0,1.84,0.0,0.25,0.0,5,0,0,9,7,1,3
HD2900449779,SB,Ts Ac,calls,False,0.0,1.35,0.0,0.25,0.0,5,0,0,14,10,3,3
HD2900449741,BB,6d 5s,folds,True,0.0,0.6,0.0,0.25,0.0,5,0,0,6,5,0,3
HD2900449684,MP2,9c 4s,folds,True,0.0,0.6,0.0,0.25,0.0,5,0,0,9,4,4,3
HD2900449620,MP3,4s 7s,checks,False,0.0,0.75,0.0,0.25,0.0,5,0,1,7,4,2,3
HD2900951765,CO,Ac Th,raises,False,0.0,93.42,0.0,1.0,0.0,5,0,0,14,10,3,3
HD2900951738,BTN,Qc 7h,folds,True,0.0,1.0,0.0,1.0,0.0,4,0,0,12,7,4,3
HD2900951694,SB,2s 9c,calls,False,0.0,2.0,0.0,1.0,0.0,5,0,0,9,2,6,3
HD2900951595,MP1,9h Jd,calls,False,0.0,10.0,0.0,1.0,0.0,5,0,0,11,9,1,3
HD2900951556,MP2,2c Qh,folds,True,0.0,2.5,0.0,1.0,0.0,5,0,0,12,2,9,3
HD2900951515,MP3,4d 5h,folds,True,0.0,5.5,0.0,1.0,0.0,5,0,0,5,4,0,3
HD2900951462,CO,8s 7c,folds,True,0.0,18.0,0.0,1.0,0.0,5,0,0,8,7,0,3
HD2900951449,BTN,4h Ks,folds,True,0.0,1.0,0.0,1.0,0.0,4,0,0,13,4,8,3
HD2900951421,SB,6h 4c,calls,False,0.0,2.0,0.0,1.0,0.0,5,0,0,6,4,1,3
HD2900951355,MP1,Qs Ks,raises,False,0.0,16.25,0.0,1.0,0.0,5,0,1,13,12,0,9
HD2900951319,MP2,4c Qh,folds,True,0.0,2.5,0.0,1.0,0.0,5,0,0,12,4,7,3
HD2900951245,MP3,9c Tc,calls,False,0.0,27.0,0.0,1.0,0.0,5,0,1,10,9,0,7
HD2900951203,CO,2d 3d,checks,False,0.0,7.0,0.0,1.0,0.0,5,0,1,3,2,0,3
